Bird.ID,Species,Nest.Type.Specific,Nest.Type,Sex,Family,Tan4.eigengene,Assay,Nest.Type.Ind,Assay.Date,Assay.Time,Collect.Date,Collect.Time,Dissec.Init.,Treatment,Capture,Mount.ID,Mount.Sex,Song.ID,Time.Point,Days.Delayed,Location,Playback.start,Box.set,Bird.in.hand,Bird.in.iso,Latency.Sample,Decapitate,Euth?,RNA.blood,Mass,Brain.time,Brain.sec,Body.time,Plasma,Wing,Tarsus,Testosterone,logTestosterone,T.Exclude?,VmT.Sequenced,Brain.Macrodissection.Time,Territory.comments,Assay.comments,Dissection.comments,Breeding.comments,Other.comments,nest stage,observer,scorer initials,Assay file,Vocalizations,Songs,Hovers,Flyovers,Dives,Pecks,Attacks,Physical.Contact,Attack.Rate,Chase,Tail-flicks,Wing Waves,Copulation Attempts,Aggression.Score,Epochs.Agg,Distance (raw/epochs),Raw distance,Number of epochs,Exclude?,Notes,,,,
AMRO M 1,American Robin,Open,Open,M,Turdidae,,,NA,,,2018,,,,,,NA,,No.Playback,,,,,,,,,Yes,,,,NA,,,,,1.53525,0.186179106,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMRO M 2,American Robin,Open,Open,M,Turdidae,,,NA,,,2018,,,,,,NA,,No.Playback,,,,,,,,,Yes,,,,NA,,,,,1.1284375,0.05247751,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROF1,American Robin,Open,Open,F,Turdidae,0.071330318,,NA,,,3/16/18,11:11,SEL,Passive,Net,,NA,,No.Playback,,Bayles,11:15,,11:19,11:19,,:35,Yes,50,78,11:58,718,16:36,120,,,0.11885,-0.925000814,,Yes,,,NA,NA,small follicles,,,,,,,,,,,,,,,,,,,,,,,,,Failed assay,,,,
ROF2,American Robin,Open,Open,F,Turdidae,0.036004621,,NA,,,3/17/18,8:52,SEL,Passive,Net,,NA,,No.Playback,,Bayles,8:52,,9:16,9:16,,1:00,Yes,100,64.4,9:32,572,15:05,270,,,0.0584,-1.233587153,,Yes,,,NA,"mislabeled blood + eye but corrected tube; brain touched side of container, may have nicked",follicles small but many,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROF3,American Robin,Open,Open,F,Turdidae,0.052162348,,NA,,,3/20/18,10:36,SEL,Passive,Net,,NA,,No.Playback,,Bryan Park,10:40,,10:52,10:52,,:33,Yes,100,78.4,11:31,691,17:19,400,,,0.0577,-1.238824187,,Yes,,,M and F acted territorial towards other robins approaching parking lot;,"nicked cerebellum upon opening skull, brain stuck to side so had to scrape off",small-med follicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROF4,American Robin,Open,Open,F,Turdidae,0.047038575,,NA,,,3/21/18,9:17,SEL,Passive,Net,,NA,,No.Playback,,Byran Park,9:22,,9:26,9:26,,1:14,Yes,50,78.2,10:46,646,17:17,285,,,0.06525,-1.185419484,,Yes,,,"M and F acted territorial, chasing and displacing other robins that got close to bare ground foraging spot;",spleen not crazy large like other ones we've seen; brain stuck to side of bucket three times :(,several medium-sized follicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROF5,American Robin,Open,Open,F,Turdidae,0.048526996,,NA,,,3/25/18,9:15 AM,EMG,Passive,Net,,NA,,No.Playback,,Bryan Park,9:30 AM,,9:34 AM,9:35 AM,,NA,Yes,50,NA,12:41,761,18:30,144,,,0.06715,-1.172953983,,Yes,,,"foraging a lot, in a big group","good brain; L eye fell in the snow, so R eye also saved.",small white follicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROF6,American Robin,Open,Open,F,Turdidae,,,NA,3/19/19,10:14,3/19/19,10:17 AM,SEL,Playback,Net,ROM1,M,AMRO M2,Immediate,,"Bayles, back near golf course",10:14,NA,10:17 AM,10:21 AM,7,,Yes,50,70.3,10:00,NA,14:15,310,,,0.50395,-0.29761255,,No,,pair w/ ROM8,caught before full 5 min assay,,white small/med follicles,,,,,,,,,,,,,,,,,,,,,,,,,Where is brain? Didn't see in the frezer,,,,snow
ROF7,American Robin,Open,Open,F,Turdidae,,,NA,,,4/23/19,,,,,,NA,,No.Playback,,EC barn,,,,,,,Yes,,,,NA,,,,,NA,NA,,No,,,,Laying - exclude,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
ROF8,American Robin,Open,Open,F,Turdidae,0.05463272,,NA,,,3/20/20,7:49 AM,SEL,Passive,Net,,NA,,No.Playback,,7th and Sunrise,,,7:49 AM,7:54 AM,,:34,Yes,50,79.3,10:26,626,16:55,159,,,0.47255,-0.325552232,,Yes,8:08,banding w/Alex Jahn,,smushed L eye to fit into tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROM1,American Robin,Open,Open,M,Turdidae,,,NA,,12:05,3/14/18,,ABB,Playback,Net,,NA,,Immediate,,Bayles,12:05,,12:21,12:21,16,:33,Yes,100,75.4,15:30,NA,20:00,174,,,3.2465,0.511415407,,No,,,,,testes small and brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROM11,American Robin,Open,Open,M,Turdidae,0.063599749,17,NA,4/17/19,,4/17/19,8:02 AM,SEL,Playback,Net,ROM9,M,M3,Immediate,,EC parking lot,,,8:02 AM,8:04 AM,NA,54,Yes,100,74.3,11:42,702,20:06,208,132.5,33.3,2.8055,0.448010273,,Yes,,,,Took R eye too,,Recording assay 17 : Agg assay #17 but for different male (dont know where ROM CO tubes are) : Large gonads : Good adrenals,,,,190417-0749,,,,,,,,,,,,,,,,,,,,,,,,
ROM2,American Robin,Open,Open,M,Turdidae,0.074333045,,NA,,9:55,3/17/18,,SEL,Playback,Net,,NA,,Immediate,,Bayles,9:55,,10:13,10:13,18,:56,Yes,30,74.9,12:09,729,17:24,70,,,2.17425,0.337309479,,Yes,,,,Brain touched side of bucket and I nicked it while moving,"M responsive to playback, acting territorial by sticking around after I caught ROF2 in same spot;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROM3,American Robin,Open,Open,M,Turdidae,0.062510631,,NA,,9:40,3/18/18,,SEL,Playback,Net,,NA,,Immediate,,Range Rd/IU Service Bldg.,9:40,,10:04,10:04,24,:39,Yes,50,71,13:21,81,18:13,85,,,5.9845,0.777027871,,Yes,,,"M and F flew towards playback together, F never got close;","Brain stuck to bucket, had to pry from sides - may have messed up morphology; hemispheres separated slightly; broke G2 - only partial of 2nd gonad","testes grey/brown, smaller than ROM2 but larger than ROM1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROM4,American Robin,Open,Open,M,Turdidae,,,NA,,10:17,3/21/18,,SEL,Passive,Net,,NA,,No.Playback,,Bryan Park,10:18,,10:28,10:28,,1:13,Yes,50,77.6,12:23,NA,18:55,290,,,6.8455,0.835405175,,No,,,Couldn't tell if foraging or territorial,brain stuck to side of bucket,testes enlarged - breeding condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frost; F defensively sat in hole
ROM5,American Robin,Open,Open,M,Turdidae,,,NA,,NA,3/21/18,,SEL,Passive,Net,,NA,,No.Playback,,Bryan Park,NA,,10:52,11:00,,:50,Yes,50,66.2,10:46,NA,17:16,250,,,0.2335,-0.631713115,,No,,,"caught in net without playback,",kept in bag until tools cleaned; brain great!,testes enlarged - breeding condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
