Bird.ID,Species,Species.Scientific,Nest.Type.Specific,Nest.Type,Sex,Family,Assay,Vocalizations,Songs,Hovers,Flyovers,Dives,Pecks,Attacks,Physical.Contact,Attack.Rate,Chase,Tail-flicks,Wing Waves,Copulation Attempts,Distance (raw/epochs),Mount.Sex
1,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,M
2,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,M
3,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,11,0,3,0,0,0,0,0,0,0,0,6,1,0,5.47826087,F
4,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,13,1,0,0,0,0,0,0,0,0,0,3,1,0,12,F
5,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,14,1,0,0,1,0,0,0,0,0,0,1,0,0,12.75,M
6,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,15,19,0,0,1,0,0,0,0,0,0,3,0,0,7.283333333,F
7,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,17,0,0,0,0,0,0,0,0,0,0,1,0,0,10.04347826,M
8,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,?,0,0,0,1,0,0,0,0,0,0,0,0,0,2.745454545,F
9,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,?,0,0,0,0,1,0,0,0,0,0,0,0,0,3.466666667,M
11,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,4,0,0,0,1,0,0,0,0,0,0,0,0,0,15.33333333,M
12,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,M
10,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,6,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41666667,M
13,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3.368421053,F
14,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,13,0,0,0,0,0,0,0,0,0,0,1,1,0,12.16666667,F
15,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,14,0,0,0,0,1,0,0,0,0,0,1,0,0,15.41666667,M
16,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5.833333333,F
17,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,?,1,0,0,3,1,0,0,0,0,0,1,0,0,9.716666667,M
18,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,?,0,0,0,0,0,0,0,0,0,0,1,0,0,10,M
19,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,?,0,0,0,1,1,0,2,2,0.033333333,0,0,1,0,6.841666667,M
21,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,1,5,0,1,4,0,0,0,0,0,0,0,0,0,1.255319149,M
