Bird.ID,Species,Species.Scientific,Nest.Type.Specific,Nest.Type,Sex,Family,Mass,Testosterone,logTestosterone
ROF3,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,78.4,0.0577,-1.238824187
ROF2,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,64.4,0.0584,-1.233587153
ROF4,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,78.2,0.06525,-1.185419484
ROF5,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,NA,0.06715,-1.172953983
ROF1,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,78,0.11885,-0.925000814
ROF8,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,79.3,0.47255,-0.325552232
ROF6,American Robin,Turdus_migratorius,Open,Open,F,Turdidae,70.3,0.50395,-0.29761255
ROM6,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,NA,0.187,-0.728158393
ROM5,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,66.2,0.2335,-0.631713115
AMRO M 2,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,NA,1.1284375,0.05247751
AMRO M 1,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,NA,1.53525,0.186179106
ROM2,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,74.9,2.17425,0.337309479
ROM11,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,74.3,2.8055,0.448010273
ROM9,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,77.1,2.8125,0.449092531
ROM1,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,75.4,3.2465,0.511415407
ROM7,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,78.5,3.64475,0.561667745
ROM8,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,72.6,5.3195,0.725870813
ROM3,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,71,5.9845,0.777027871
ROM4,American Robin,Turdus_migratorius,Open,Open,M,Turdidae,77.6,6.8455,0.835405175
BSF8,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,16.2,0.0828,-1.081969663
BSF4,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,16.7,0.08465,-1.072373038
BSF1,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,18.9,0.1079,-0.966978555
BSF2,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,19.5,0.12555,-0.901183283
BSF3,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,16.4,0.1263,-0.898596649
BSF6,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,20.6,0.16795,-0.774819992
BSF7,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,16.6,0.1763,-0.753747688
BSF11,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,17.25,0.3244,-0.488919154
BSF5,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,19.7,0.39,-0.408935393
BSF10,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,17.5,0.45640625,-0.340648417
BSF9,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,15.25,0.5064375,-0.295474144
BSF12,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,18,0.53035,-0.275437427
BSM1,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,18.6,0.48,-0.318758763
BSM14,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,17.25,0.635,-0.197226275
BSM2,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,16.4,0.721,-0.142064735
BSM15,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,16.75,1.034,0.014520539
BSM5,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,18.8,1.2435,0.09464579
BSM4,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,19.5,1.31875,0.120162473
BSM11,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,18.75,1.443333333,0.159366642
BSM12,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,20.5,1.74625,0.242106419
BSM13,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,16.5,2.0655,0.315025199
BSM9,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,18.5,3.2965,0.51805308
BSM7,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,17.4,3.5615,0.551632949
BSM10,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,20,3.8055,0.580411726
BSM8,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,19.5,5.0475,0.703076328
BSM6,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,18.3,5.7825,0.762115641
BSM3,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,17.1,11.8195,1.072599105
CWF7,Carolina Wren,Thryothorus_ludovicianus,Facultative_Cavity,zCavity,F,Troglodytidae,NA,0.22825,-0.641589214
CWF6,Carolina Wren,Thryothorus_ludovicianus,Facultative_Cavity,zCavity,F,Troglodytidae,16.7,0.24765,-0.606161668
CWF2,Carolina Wren,Thryothorus_ludovicianus,Facultative_Cavity,zCavity,F,Troglodytidae,18.8,0.2586,-0.587371479
CWF3,Carolina Wren,Thryothorus_ludovicianus,Facultative_Cavity,zCavity,F,Troglodytidae,22.5,0.3088,-0.510322708
CWF8,Carolina Wren,Thryothorus_ludovicianus,Facultative_Cavity,zCavity,F,Troglodytidae,17.6,0.4915,-0.308476478
CWF1,Carolina Wren,Thryothorus_ludovicianus,Facultative_Cavity,zCavity,F,Troglodytidae,21.8,0.595603448,-0.225042797
CWM2,Carolina Wren,Thryothorus_ludovicianus,Facultative_Cavity,zCavity,M,Troglodytidae,22.9,1.05975,0.025203425
CWM5,Carolina Wren,Thryothorus_ludovicianus,Facultative_Cavity,zCavity,M,Troglodytidae,20.9,1.629,0.211921084
CWM6,Carolina Wren,Thryothorus_ludovicianus,Facultative_Cavity,zCavity,M,Troglodytidae,NA,2.458,0.390581879
CWM7,Carolina Wren,Thryothorus_ludovicianus,Facultative_Cavity,zCavity,M,Troglodytidae,22.3,2.879875,0.459373638
CWM1,Carolina Wren,Thryothorus_ludovicianus,Facultative_Cavity,zCavity,M,Troglodytidae,21.3,3.1755,0.501812117
CWM4,Carolina Wren,Thryothorus_ludovicianus,Facultative_Cavity,zCavity,M,Troglodytidae,20.9,3.205,0.505828034
CWM8,Carolina Wren,Thryothorus_ludovicianus,Facultative_Cavity,zCavity,M,Troglodytidae,21.8,4.9925,0.698318074
CWM3,Carolina Wren,Thryothorus_ludovicianus,Facultative_Cavity,zCavity,M,Troglodytidae,20.2,6.024,0.779884963
BBF15,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,31.6,0.04435,-1.353106376
BBF16,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,30.1,0.0473,-1.325138859
BBF11,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,30.8,0.0593,-1.226945307
BBF3,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,27.7,0.0873,-1.058985756
BBF1,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,29.1,0.12315,-0.909565584
BBF14,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,30,0.13235,-0.878276054
BBF10,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,NA,0.1364,-0.86518563
BBF7,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,NA,0.1996,-0.699839463
BBF8,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,NA,0.21985,-0.65787353
BBF6,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,NA,0.25655,-0.590827981
BBF4,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,28.4,0.2863,-0.543178652
BBF5,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,29.1,0.2927,-0.533577278
BBF9,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,28,0.3092,-0.509760515
BBF12,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,28.9,0.4245,-0.372122305
BBF2,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,F,Turdidae,29.5,0.72955,-0.136944938
BBM10,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,29.1,0.21625,-0.665043884
BBM8,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,30.1,0.67075,-0.173439319
BBM4,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,31,0.82075,-0.085789109
BBM15,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,29.4,1.14725,0.059658066
1521-01439,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,,1.638,0.214313897
BBM1,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,29,1.75225,0.243596069
BBM7,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,27.5,1.937,0.287129621
BBM14,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,27.1,2.3495,0.370975449
BBM5,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,NA,3.14075,0.497033368
BBM11,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,29.2,3.1955,0.504538822
BBM2,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,28,3.2735,0.515012345
BBM6,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,28.1,3.93275,0.59469634
BBM12,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,28.8,5.409,0.733116981
BBM9,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,29.4,6.236,0.794906107
BBM3,Eastern Bluebird,Sialia_sialis,Obligate_Cavity,zCavity,M,Turdidae,28.2,6.6675,0.823963024
ETF1,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,F,Passeridae,20.4,0.1084,-0.964970718
ETF3,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,F,Passeridae,19.4,0.11005,-0.958409953
ETF5,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,F,Passeridae,20.3,0.179840426,-0.745112678
ETF7,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,F,Passeridae,20.6,0.24565,-0.609683232
ETF4,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,F,Passeridae,20.4,0.327049302,-0.485386773
ETF2,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,F,Passeridae,20.3,0.551750398,-0.258257345
ETF6,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,F,Passeridae,19.6,0.657284429,-0.182246656
ETM3,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,M,Passeridae,21.3,1.420125,0.152326573
ETM7,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,M,Passeridae,22.1,3.6865,0.566614238
ETM6,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,M,Passeridae,20.1,4.080008211,0.610661037
ETM4,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,M,Passeridae,19.8,4.17875,0.62104639
ETM5,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,M,Passeridae,20.5,5.93875,0.773695043
ETM8,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,M,Passeridae,19.4,6.4555,0.809929885
ETM2,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,M,Passeridae,22,8.792,0.944087679
ETM1,Eurasian Tree Sparrow,Passer_montanus,Obligate_Cavity,zCavity,M,Passeridae,21.1,8.892375,0.949017769
HSF8,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,F,Passeridae,29,0.17705,-0.751904069
HSF7,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,F,Passeridae,26.7,0.19165,-0.717491176
HSF5,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,F,Passeridae,25.8,0.197725,-0.703938416
HSF3,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,F,Passeridae,20.4,0.204222222,-0.689897002
HSF2,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,F,Passeridae,28.5,0.256588044,-0.590763584
HSF4,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,F,Passeridae,27.6,0.405202462,-0.392327925
HSF9,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,F,Passeridae,30.1,0.40721154,-0.390179923
HSF1,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,F,Passeridae,25.6,0.1661,-0.779630368
HSM2,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,M,Passeridae,28.9,1.251625,0.097474229
HSM3,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,M,Passeridae,26.8,3.685941785,0.566548472
HSM7,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,M,Passeridae,26,4.688,0.670987603
HSM5,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,M,Passeridae,27.5,5.7285,0.758040917
HSM8,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,M,Passeridae,NA,5.9309375,0.773123347
HSM9,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,M,Passeridae,28,6.022,0.779740751
HSM11,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,M,Passeridae,27.9,6.4595,0.810198903
HSM10,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,M,Passeridae,30.2,8.312,0.919705535
HSM4,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,M,Passeridae,27,9.125125,0.960238822
HSM6,House Sparrow,Passer_domesticus,Facultative_Cavity,zCavity,M,Passeridae,26.1,12.5058125,1.097111913
HWF1,House Wren,Troglodytes_aedon,Obligate_Cavity,zCavity,F,Troglodytidae,9.6,0.11425,-0.942143791
HWF2,House Wren,Troglodytes_aedon,Obligate_Cavity,zCavity,F,Troglodytidae,11.1,0.1254,-0.901702464
HWF5,House Wren,Troglodytes_aedon,Obligate_Cavity,zCavity,F,Troglodytidae,11.9,0.1322,-0.878768545
HWF4,House Wren,Troglodytes_aedon,Obligate_Cavity,zCavity,F,Troglodytidae,12.2,0.1438,-0.842241114
