Individual,Species.Common,Species.Scientific,Nest.Type.Specific,Nest.Type,Sex,Family,Attacks,Distance
BBF11,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,0.034606482,7.072573123
BBF12,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,0.034606482,7.072573123
BBF14,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,0.034606482,7.072573123
BBF15,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,0.034606482,7.072573123
BBF16,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,0.034606482,7.072573123
BBF9,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,F,Turdidae,0.034606482,7.072573123
BBM10,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,0.136614219,7.879230769
BBM11,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,0.136614219,7.879230769
BBM12,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,0.136614219,7.879230769
BBM13,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,0.136614219,7.879230769
BBM14,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,0.136614219,7.879230769
BBM9,Eastern Bluebird,Sialia_sialis,Obligate.Cavity,zCavity,M,Turdidae,0.136614219,7.879230769
BSF1,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,0.001666667,4.836980081
BSF2,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,0.001666667,4.836980081
BSF3,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,0.001666667,4.836980081
BSF4,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,0.001666667,4.836980081
BSF7,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,0.001666667,4.836980081
BSF8,Barn Swallow,Hirundo_rustica,Open,Open,F,Hirundinidae,0.001666667,4.836980081
BSM1,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,0.001515152,4.697855589
BSM2,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,0.001515152,4.697855589
BSM3,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,0.001515152,4.697855589
BSM4,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,0.001515152,4.697855589
BSM5,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,0.001515152,4.697855589
BSM6,Barn Swallow,Hirundo_rustica,Open,Open,M,Hirundinidae,0.001515152,4.697855589
CWF1,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,F,Troglodytidae,0.028619086,3.544954688
CWF2,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,F,Troglodytidae,0.028619086,3.544954688
CWF3,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,F,Troglodytidae,0.028619086,3.544954688
CWF6,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,F,Troglodytidae,0.028619086,3.544954688
CWF7,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,F,Troglodytidae,0.028619086,3.544954688
CWF8,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,F,Troglodytidae,0.028619086,3.544954688
CWM3,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,M,Troglodytidae,0.255676918,4.829712405
CWM4,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,M,Troglodytidae,0.255676918,4.829712405
CWM5,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,M,Troglodytidae,0.255676918,4.829712405
CWM6,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,M,Troglodytidae,0.255676918,4.829712405
CWM7,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,M,Troglodytidae,0.255676918,4.829712405
CWM8,Carolina Wren,Thryothorus_ludovicianus,Facultative Cavity,zCavity,M,Troglodytidae,0.255676918,4.829712405
ETF1,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,F,Passeridae,0,5.109587905
ETF2,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,F,Passeridae,0,5.109587905
ETF3,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,F,Passeridae,0,5.109587905
ETF4,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,F,Passeridae,0,5.109587905
ETF5,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,F,Passeridae,0,5.109587905
ETF6,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,F,Passeridae,0,5.109587905
ETM1,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,0.033760684,5.713675214
ETM2,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,0.033760684,5.713675214
ETM3,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,0.033760684,5.713675214
ETM4,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,0.033760684,5.713675214
ETM6,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,0.033760684,5.713675214
ETM7,Eurasian Tree Sparrow,Passer_montanus,Obligate.Cavity,zCavity,M,Passeridae,0.033760684,5.713675214
HSF1,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,0,5.86182537
HSF2,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,0,5.86182537
HSF3,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,0,5.86182537
HSF4,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,0,5.86182537
HSF5,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,0,5.86182537
HSF7,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,F,Passeridae,0,5.86182537
HSM10,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,0.052519483,4.146867095
HSM11,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,0.052519483,4.146867095
HSM3,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,0.052519483,4.146867095
HSM4,House Sparrow,Passer_domesticus,Facultative Cavity,zCavity,M,Passeridae,0.052519483,4.146867095
