Bird.ID,Species,Nest.Type.Specific,Nest.Type,Sex,Family,Assay,Nest.Type.Ind,Assay.Date,Assay.Time,Collect.Date,Collect.Time,Dissec.Init.,Treatment,Capture,Mount.ID,Mount.Sex,Song.ID,Time.Point,Days.Delayed,Location,Playback.start,Box.set,Bird.in.hand,Bird.in.iso,Latency.Sample,Decapitate,Euth?,RNA.blood,Mass,Brain.time,Brain.sec,Body.time,Plasma,Wing,Tarsus,Testosterone,logTestosterone,T.Exclude?,VmT.Sequenced,Brain.Macrodissection.Time,Territory.comments,Assay.comments,Dissection.comments,Breeding.comments,Other.comments,nest stage,observer,scorer initials,Assay file,Vocalizations,Songs,Hovers,Flyovers,Dives,Pecks,Attacks,Physical.Contact,Attack.Rate,Chase,Tail-flicks,Wing Waves,Copulation Attempts,Aggression.Score,Epochs.Agg,Distance (raw/epochs),Raw distance,Number of epochs,Exclude?,Notes,Brown,DarkGreen,MEred,MEtan4,MEpink4,MEsienna4,MEroyalblue,MEturquoise,MEcoral3,MEblue,MEdarkorange2,MEpurple,MEyellowgreen
BBF12,Eastern Bluebird,Obligate.Cavity,zCavity,F,Turdidae,,NA,4/4/19,,4/6/19,12:04 PM,ABB,Playback,Box,BBMA,M,M EABL 1,Delayed,2,GP26,11:25 AM,11:31 AM,12:04 PM,12:06 PM,NA,:31,Yes,100,28.9,9:51,591,14:39,240,95,20.01,0.4245,-0.372122305,,Yes,,,,"Set up @ 11:07AM (trap in box) but didnt catch until 12:04PM as she was entering w/ nesting material (M never entered). During that ~1hr the following happened: -TS on box, F BB vocalize + displace TS, M BB chase TS away, -TS @ hole, F BB grappled to the ground, -TS on box, pair flew down together, displaced TS, -TS on box, M BB displaced, ~30 min no intrusions, then captured 12:04PM : because it took so long to capture, dry ice evaporated so stuff on top of brain is not the smallest chunks but was already frozen before added, -I think I got adrenal (only fatty looking thing on kidney)",,"Full BB nest, no E, saw M + F go in at diff points in AM prior to trial both present but totally unresponsive during trial (just sat near)",,ABB,,,,,,,,,,,,,,,,,,,,,,,,,-0.103511848,-0.132559894,-0.040782303,0.060276049,-0.023101332,-0.002590199,0.082850806,,,,
BBF14,Eastern Bluebird,Obligate.Cavity,zCavity,F,Turdidae,16,NA,4/14/19,10:45 AM,4/19/19,10:45 AM,SEL,Playback,Box,BBMB,M,M1,Delayed,5 days,FF 11,10:45 AM,9:19 AM,9:20 AM,9:22 AM,NA,:31,Yes,0,30,9:24,564,15:35,150,96,20.6,0.13235,-0.878276054,,Yes,,,,Great brain,,"Small white follicles : Good assay! M spent most of time on nestbox pole, attacked mount a few times : F didnt come in- remained in woods : Hosp nearby : Nest but no eggs",,,,190414-1036,,,,,,,,,,,,,,,,,,,,,,,-0.089227317,-0.109800774,-0.037566227,0.045035042,0.004987329,-0.018478922,0.114287983,,,,
BBM11,Eastern Bluebird,Obligate.Cavity,zCavity,M,Turdidae,1,NA,,,3/11/19,11:48 AM,EMG,Playback,Box,"BBMB, BBF11",NA,M1,Delayed,,EC 6?,,,11:48 AM,11:50 AM,NA,:22,Yes,,29.2,8:10,490,18:19,180,,,3.1955,0.504538822,,Yes,,,,,,"BBM11 is the initial male from EABL Assay 1, and BBM10 is a male that intruded at the end",,,,BBM11,0,0,0,0,0,0,0,0,0,0,0,1,0,,,4.442307692,231,52,,,,,0.103804037,-0.122289197,0.004077478,0.073307927,,,,0.050435662,0.004259528,0.11313027,0.040891183
CWF2,Carolina Wren,Facultative Cavity,zCavity,F,Troglodytidae,4,Box,3/24/20,9:37 AM,3/26/20,12:35 PM,SEL ,Playback ,Box,CWM2,M,Sanborn,Delayed,2,BA44,,<30 mins ,12:35 PM,12:39 PM,NA,0:20,Yes,50,18.8,7:18,438,12:08,85,,,0.2586,-0.587371479,,Yes,,nest is halfway complete (n3?) ,"good assay!, male super aggressive, pecked on mount the entire assay, didn't see female but heard chatter in last 20 seconds of assay ","in box for under 30 minutes, kincked left tellenchephalon ",,,n3?,SEL,,,,,,,,,,,,,,,,,,,,,,,,,-0.113867105,0.080847967,0.088052764,0.017109546,-0.367687412,0.014807227,0.010607136,,,,
ETF5,Eurasian Tree Sparrow,Obligate.Cavity,zCavity,F,Passeridae,2,NA,3/31/21,11:13,4/1/21,11:49,SEL,Playback,Box,ETM1,M,M_XC349822,Delayed,1,Forbes 0,11:13,,11:49,12:00,NA,:32,Yes,none,20.3,9:16,556,19:54,46,68,16,0.179840426,-0.745112678,,Yes,7:07,,,,"follicles small,white",,nest 1/3 complete,TAE,SJT,ETSP_AGG_ASSAY2_F_3.31.21_TAE,0,0,0,2,0,0,0,0,0,0,0,0,0,0.034482759,,5.896551724,342,58,,"pair responded, presumed male more agg (vocalized more, on box more)",,,-0.055937049,-0.073946728,0.081968197,0.10215233,0.082286201,0.076397304,-0.043074705,,,,
ETM6,Eurasian Tree Sparrow,Obligate.Cavity,zCavity,M,Passeridae,4,NA,4/6/21,9:56,4/8/21,9:56,SEL,Playback,Box,ETF5,F,chatter_212041,Delayed,,Funky Hollow 4,9:56,,10:53,10:58,NA,:30,Yes,50,20.1,9:00,540,17:11,80,70,18.1,4.080008211,0.610661037,,Yes,8:04,paired,,,,,,,SJT,ETSP_AGG_ASSAY4_M_4.6.21_SEL,2,0,1,3,0,10,0,10,0.166666667,0,0,0,5,0.233333333,,2.225,133.5,60,,"M response, possibly neighbor on box, pecked and copulated with mount; at end another pair came in",,,0.101126526,-0.084590266,0.068648846,0.107553676,,,,0.073224333,-0.022545143,0.028611032,0.060847396
HWF3,House Wren,Obligate.Cavity,zCavity,F,Troglodytidae,12,NA,5/9/19,9:41 AM,5/10/19,9:07,EMG,Playback,Net,HWF1,F,XC263717A,Delayed,1,CC1,9:00,,9:07,9:08,NA,:08,Yes,0,,10:00,600,16:30,56,48.5,16.65,0.14955,-0.825213583,,Yes,,,,Did knick L Tel. Large spleen. Got 1.5 adrenals.,"One med. yellow follicle + a bunch of ""large"" white.",,,SEL,SJT,HOWR_Assay_12_190509_0934,2,0,0,2,0,0,0,0,0,0,0,0,0,,,5.5,330,60,,,,,-0.089696879,-0.008754321,-0.001659201,-0.083819856,0.015960968,0.036394484,0.045100659,,,,
HWF4,House Wren,Obligate.Cavity,zCavity,F,Troglodytidae,9,NA,5/7/19,9:07 AM,5/9/19,9:15,EMG,Playback,Box,HWF1,F,XC263717B,Delayed,2,EC2,8:15?,NA,8:24,8:28,NA,:30,Yes,25,12.2,11:39,699,21:30,55,52.5,17.1,0.1438,-0.842241114,,Yes,,"Pair building, nest almost complete, some lining in cup but not full","Only saw M, lots of angry rattle chatter, few songs","No BP, CP-ish thing, 2 v large yolky follicles",,,"Almost complete, some lining in cup but not full",SEL,SJT,,,,,,,,,,,,,,,,,,,,,,,,-0.071536081,-0.008956897,0.000893812,-0.096576065,0.041090229,0.021028013,0.073018714,,,,
HWF5,House Wren,Obligate.Cavity,zCavity,F,Troglodytidae,8,NA,5/7/19,8:12 AM,5/9/19,10:35,SEL,Playback,Box,HWM3,M,KrausBS115,Delayed,2,EC11,8:12,NA,10:37,,NA,:20,Yes,100,11.9,8:13,493,9:30,104,51.5,17.1,0.1322,-0.878768545,,Yes,,Nest complete,Female appeared at 2:40,"Took right eye, left eye smushed. Brain may have skull stuck on back.","Broke a follicle while cutting. I large yellow still, and several large white.",,Nest complete,SEL,SJT,HOWR_Assay_8_190507,2,0,0,5,0,0,6,6,0.176470588,0,4,7,0,,,0.441176471,15,34,,F does not appear until 2:40 into the assay.,,,-0.077969849,-0.014661678,0.017464421,-0.082830408,0.032809727,0.036292044,0.055364021,,,,
KYTSF12,Tree Swallow,Obligate.Cavity,zCavity,F,Hirundinidae,17,NA,4/6/19,2:12 PM,4/10/19,2:15 PM,,Playback,Box,TSF1,F,B66,Delayed,4 days 4/10/19,KY 24,,,10:51 AM,10:53 AM,NA,:34,Yes,100,20.6,12:50,770,22:10,,119.5,,0.06895,-1.161465729,,Yes,,,,"Took off large chunk of terencephalon, maybe NT",,"TSF6 (box 25) intruded onto assay, then went into nestbox trap: focal F is SY: 1 adrenal:",,SEL,JKK,190406-1412,6,0,3,0,0,0,6,6,0.1,0,0,0,0,0.15,,0.075,4.5,60,,,,,-0.058461093,-0.091766295,-0.010964848,-0.114178798,0.076494159,0.082905486,0.000427185,,,,
